"id.deidentified","Age","Gender","Race","Multi.racial","Class","Income","US.ldr","Item1I","Use1I","Aware1I","Item2I","Use2I","Aware2I","Item3I","Use3I","Aware3I","Item4I","Use4I","Aware4I","OrderI_1_Group","OrderI_1_Rank","OrderI_2_Group","OrderI_2_Rank","OrderI_3_Group","OrderI_3_Rank","OrderI_4_Group","OrderI_4_Rank","Item1C","Use1C","Aware1C","Item2C","Use2C","Aware2C","Item3C","Use3C","Aware3C","Item4C","Use4C","Aware4C","OrderC_1_Group","OrderC_1_Rank","OrderC_2_Group","OrderC_2_Rank","OrderC_3_Group","OrderC_3_Rank","OrderC_4_Group","OrderC_4_Rank","eff1","eff2","eff3","eff4","eff5","gGPA","cGPA"
1,19,"2","2","",1,"4",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,4,3,1,4,2,1,4,3,0,1,2,1,1,1,3,1,6,5,6,5,5,"3.8","3.3"
2,18,"1","7","",1,"7",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,4,3,1,4,2,1,3,1,2,1,0,1,1,1,3,1,4,4,5,5,3,"3.2","3.45"
3,19,"1","7","",2,"",NA,1,2,2,1,4,3,1,3,3,1,4,2,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,3,"3.7",""
4,19,"2","3","",2,"3",7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,4,3,1,4,3,1,3,2,3,1,0,1,1,1,2,1,5,5,5,6,6,"3.5","3.01"
5,20,"1","7","",2,"5",6.5,1,3,2,1,4,3,1,2,3,1,3,3,0,1,1,1,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,6,7,6,"3.4","3.1"
6,20,"1","2","",2,"3",1,1,1,1,1,2,3,1,4,3,1,4,1,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,7,7,6,"3.6","3.6"
7,21,"2","7","",4,"4",7,1,3,2,1,2,3,1,2,3,1,4,3,2,1,1,1,3,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,5,"3.7","3.8"
8,19,"2","2","",1,"",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,3,3,1,1,3,1,1,1,1,1,0,1,2,1,3,1,2,2,6,4,4,"3.0","3.6"
9,18,"1","2","",1,"8",7.5,1,2,2,1,3,2,1,3,3,1,2,2,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,6,"3.7","3.6"
10,18,"2","8","pakistani/american",1,"2",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,3,2,1,3,2,1,2,2,2,1,0,1,1,1,3,1,3,2,6,6,7,"3.8","3.3"
11,18,"2","2","",1,"3",8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,4,3,1,4,2,1,4,2,1,1,0,1,2,1,3,1,6,6,7,6,3,"3.6","3.75"
12,19,"1","7","",1,"1",7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,4,2,1,4,2,1,2,2,2,1,0,1,1,1,3,1,7,6,6,6,6,"3.8","3.75"
13,18,"1","2","",1,"5",9,1,3,3,1,4,3,1,2,2,1,2,1,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,6,6,6,"3.8","3.525"
14,18,"1","8","european/hispanic",1,"2",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,2,3,1,3,2,1,4,1,3,1,0,1,1,1,2,1,7,6,7,6,3,"3.2","2.5"
15,18,"2","7","",1,"1",8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,1,2,2,1,2,2,0,1,1,1,2,1,3,1,5,2,1,3,5,"3.25","3.25"
16,18,"1","7","",1,"9",5,1,3,2,1,4,2,1,2,1,1,2,1,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,5,3,"3.7","3.0"
17,19,"2","2","",1,"3",7,1,2,1,1,2,3,1,1,3,1,3,3,2,1,0,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,"3.7","3.608"
18,22,"2","4","",4,"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,4,3,1,4,2,1,4,2,1,1,0,1,2,1,3,1,6,5,5,6,6,"3.22","3.2"
19,18,"2","2","",1,"4",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,3,3,1,3,3,1,3,2,1,1,0,1,2,1,3,1,5,6,6,5,5,"3.8","3.2"
20,19,"2","7","",1,"1",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,3,3,1,4,3,1,3,2,3,1,1,1,0,1,2,1,5,5,6,5,6,"3.8","3.5"
21,18,"2","8","black/white/mexican",1,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,4,3,1,4,3,1,4,3,1,1,0,1,2,1,3,1,5,5,6,5,5,"3.4","3.7"
22,18,"1","2","",1,"4",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,4,3,1,4,3,1,2,1,1,1,0,1,2,1,3,1,1,2,2,6,5,"3.8","3.0"
23,20,"2","7","",3,"",NA,1,3,2,1,3,3,1,3,2,1,1,1,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,5,5,"3.6","3.7?"
24,20,"1","7","",3,"4",5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,4,3,1,4,3,1,3,2,1,1,0,1,3,1,2,1,6,6,5,5,3,"3.4-3.5","3.2"
25,18,"1","2","",1,"2",4,1,3,1,1,3,3,1,4,2,1,3,3,2,1,1,1,0,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,6,4,"3.4","3.6"
26,18,"2","2","",1,"3",8,1,2,1,1,3,3,1,2,2,1,2,1,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,5,5,"3.0","2.65"
27,18,"1","7","",1,"5",8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,3,3,1,3,3,1,2,2,1,1,0,1,2,1,3,1,6,6,1,6,7,"3.66",""
28,19,"2","7",".",1,".",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,4,2,1,2,2,1,3,2,1,1,0,1,2,1,3,1,2,2,5,5,3,"3.7","3.5"
29,18,"1","2","",1,"4",6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,2,3,1,4,3,1,3,2,0,1,3,1,1,1,2,1,6,6,6,5,6,"3.5","3.1"
30,18,"2","7","",1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,2,2,1,4,2,1,4,3,3,1,0,1,1,1,2,1,6,5,6,6,5,"3.7","3.85"
31,18,"1","7","",1,"9",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,1,4,3,1,4,3,1,3,2,1,1,0,1,2,1,3,1,6,5,7,6,5,"3.7","4.0"
32,18,"1","2","",1,"",NA,1,3,2,1,2,3,1,3,2,1,4,2,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,4,"3.4","2.7"
33,18,"1","7","",1,"5",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,4,3,1,4,3,1,3,2,1,1,0,1,2,1,3,1,6,5,6,6,4,"3.75","3.5"
34,19,"1","7","",2,"3",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,3,3,1,4,2,1,3,2,3,1,0,1,1,1,2,1,6,6,6,5,5,"3.6","3.7"
35,19,"1","7","",1,"4",5.5,1,2,2,1,3,3,1,2,2,1,2,1,1,1,0,1,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,6,6,"3.5","3.3"
36,19,"2","7","",1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,4,3,1,4,3,1,4,2,1,1,0,1,2,1,3,1,6,2,6,6,6,"4.8","4.5"
37,18,"2","4","",1,"5",8,1,4,2,1,4,3,1,3,2,1,2,1,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,5,5,5,"3.80","3.50"
38,18,"2","7","",1,".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,1,3,3,1,3,2,1,4,2,0,1,1,1,2,1,3,1,3,4,6,6,6,"3.5","3"
39,20,"2","2","",2,"2",3,1,3,2,1,3,2,1,3,2,1,2,1,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,5,5,"3.7","3.78"
40,20,"2","7","",3,"2",8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,3,2,1,3,2,1,2,2,1,1,0,1,2,1,3,1,5,5,5,6,3,"3.8","3.8"
41,19,"2","7","",1,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,1,2,2,1,2,2,3,1,0,1,1,1,2,1,6,6,6,6,6,"2.5","3.67"
42,18,"2","7","",1,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,2,3,1,3,2,1,3,1,1,1,0,1,2,1,3,1,5,3,5,5,5,"3.5","3.5"
43,18,"2","2","",1,"1",4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,2,1,3,2,1,4,2,2,1,0,1,1,1,3,1,3,5,5,5,5,"3.7","3.25"
44,19,"2","2","",1,"4",6.5,1,3,1,1,4,3,1,1,1,1,3,1,1,1,0,1,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,"3.75","3.6"
45,19,"2","2","",1,"",NA,1,2,2,1,3,3,1,2,3,1,1,1,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,6,2,5,"3.2","3.0"
46,19,"2","7","",2,"4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,3,3,1,4,2,1,3,2,2,1,0,1,1,1,3,1,2,2,3,3,3,"2.6","2.72"
47,19,"1","7","",2,".",6,1,4,2,1,4,3,1,3,2,1,2,2,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,6,7,"3.8","3.74"
48,20,"1","2","",2,".",NA,1,3,2,1,3,3,1,3,3,1,3,2,1,1,0,1,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,"3.3","2.5"
49,21,"2","2","",4,"5",8,1,4,2,1,4,3,1,2,1,1,4,1,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,7,7,"3.8","3.8"
50,20,".","",".",3,"1",4.5,1,2,1,1,3,3,1,2,1,1,1,2,1,1,0,1,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,3,"","nyob"
51,19,"2","2","",1,"1",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,1,3,2,1,3,2,3,1,0,1,1,1,2,1,6,5,6,6,3,"3.7","3.2"
52,19,"2","7","",1,"9",8,1,3,1,1,4,3,1,3,2,1,3,1,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,"3.6","3.85"
53,19,"1","2","",1,"5",8.5,1,2,1,1,2,3,1,1,3,1,1,2,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,5,"3.6","3.24"
54,18,"1","7","",1,"3",NA,1,3,2,1,4,3,1,3,2,1,3,2,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,6,6,"3.7","3.425"
55,18,"1","4","",1,"3",5,1,2,2,1,4,3,1,2,3,1,1,3,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,6,"3.3","3.23"
56,18,"2","7","",1,"1",4.5,1,2,1,1,3,2,1,4,1,1,3,1,3,1,2,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,3,"2.0",""
57,18,"2","2","",1,"4",8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,2,3,1,4,3,1,4,1,1,1,0,1,2,1,3,1,7,7,7,7,7,"3.3","3.6"
58,18,"1","7","",1,"6",8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,4,3,1,3,1,1,2,2,1,1,0,1,2,1,3,1,5,7,7,6,2,"3.65","3.56"
59,19,"1","7","",1,"3",5.6,1,2,2,1,3,3,1,3,3,1,3,2,1,1,0,1,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,5,7,6,"3.75","3.9"
60,20,"1","7","",2,"6",7,1,3,1,1,4,3,1,4,2,1,2,1,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,5,7,"3.75 (hopefully!)","3.51"
61,18,"2","2","",1,"3",6.5,1,2,2,1,4,2,1,2,1,1,4,1,0,1,1,1,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,3,3,5,"3.7","2.5"
62,19,"1","7","",1,"4",7.5,1,3,2,1,4,3,1,1,1,1,2,2,1,1,0,1,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,"3.7","3.7"
63,18,"2","7","",1,"7",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,3,3,1,4,2,1,3,2,3,1,0,1,1,1,2,1,3,3,3,6,6,"3.7","3.9"
64,19,"2","8","hispanic/caucasian",1,"5",8,1,3,2,1,4,3,1,3,2,1,3,2,2,1,0,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,5,"3.5","3.5"
65,19,"2","2","",1,"6",7,1,2,2,1,3,3,1,1,2,1,4,2,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,"3.2","2.33"
66,19,"1","7","",1,"4",6,1,3,2,1,4,3,1,1,3,1,3,1,2,1,0,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,5,3,"3.6","4.0"
67,18,"2","7","",1,".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,3,3,1,3,2,1,3,2,1,1,0,1,2,1,3,1,4,4,4,4,4,"3.4","3.45"
68,19,"1","4","",1,"4",7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,4,3,1,4,2,1,3,2,1,1,0,1,2,1,3,1,6,6,6,7,7,"3.8","3.6"
69,18,"2","7","",1,"4",4.5,1,3,2,1,4,3,1,4,2,1,4,1,2,1,0,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,5,5,"3.5","3.75"
70,19,"2","2","",1,".",NA,1,3,2,1,4,3,1,3,2,1,1,1,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,4,5,"3.9","3.85"
71,21,"1","2","",4,"4",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,2,3,1,4,1,1,3,2,1,1,0,1,2,1,3,1,6,7,7,7,7,"3.90","3.83"
72,19,"1","7","",1,"3",NA,1,1,2,1,4,3,1,3,3,1,3,2,2,1,0,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,3,4,"3.3","3.57"
73,19,"2","2","",2,"6",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,4,3,1,4,2,1,3,2,1,1,0,1,2,1,3,1,7,7,7,7,1,"3.5","2.9"
74,18,"1","4","",1,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,4,3,1,4,2,1,4,2,3,1,0,1,1,1,2,1,4,5,6,7,7,"3.6","3.4"
75,19,"2","7","",1,"",8,1,3,2,1,3,3,1,2,2,1,1,1,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,7,7,5,"3.7","4.0"
76,18,"2","7","",1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,3,3,1,4,2,1,2,2,0,1,2,1,1,1,3,1,6,6,7,5,7,"3.0","3.925"
